omim_id,Description
102100,"Rosenthal and Kloepfer (1962)described a 'new' syndrome with these three features in 13 persons of 4 generations of a Louisiana black family. Through the courtesy of Kloepfer,McKusick (1971)examined affected members of this family. The corneal leukoma is an epithelial change. The hands, feet, and chin are very large, and the affected persons unusually tall. Although growth hormone assays had not been done, other endocrine studies and x-ray views of the sella turcica gave no indication of pituitary dysfunction. One of the affected females examined had 9 living children. The skin of the hands is unusually soft and has an abnormal dermal ridge pattern, referred to as 'split ridges,' which permits identification of the disorder in children of preclinical age. A possible difference from the usual cutis verticis gyrata is a longitudinal orientation of the skin folds rather than transverse orientation. X-ray features were reported byHarbison and Nice (1971)."
102300,"Restless legs syndrome (RLS) is a neurologic sleep/wake disorder characterized by uncomfortable and unpleasant sensations in the legs that appear at rest, usually at night, inducing an irresistible desire to move the legs. The disorder results in nocturnal insomnia and chronic sleep deprivation (Bonati et al., 2003).Genetic Heterogeneity of Restless Legs SyndromeRLS1 has been mapped to chromosome 12q. Other susceptibility loci for RLS include RLS2 (608831) on chromosome 14q13-q31; RLS3 (610438) on chromosome 9p24-p22; RLS4 (610439) on chromosome 2q33; RLS5 (611242) on chromosome 20p13; RLS6 (611185) on chromosome 6p21; RLS7 (612853) on chromosome 2p14; and RLS8 (615197) on chromosome 5q31."
102400,"Schinz et al. (1951)described dominant inheritance of slowly progressive osteolysis of the phalanges in the hands and feet associated with recurrent ulcers of the fingers and soles, elimination of bone sequestra, and healing with loss of toes or fingers, with onset between 8 and 22 years.Lamy and Maroteaux (1961)described a dominant form in mother and son. Members of 2 earlier generations were also affected. No abnormality of sensation was present.Maroteaux (1970)found no basilar impression or other changes in the skull or long bones to suggest that this was Cheney syndrome (102500).Reed (1974)reported other families.A phenocopy is produced in men working in the polymerization of vinyl chloride (Harris and Adams, 1967;Ross, 1970)."
102500,A number sign (#) is used with this entry because of evidence that Hajdu-Cheney syndrome (HJCYS) is caused by heterozygous mutation in the NOTCH2 gene (600275) on chromosome 1p12.
103100,"A number sign (#) is used with this entry because of evidence that Adie pupil is a characteristic of Charcot-Marie-Tooth disease type 2J (607736), which is caused by mutation in the MPZ gene (159440)."
103230,"Chuandi et al. (1985)reported a Chinese kindred in which persons in 3 generations, and by implication at least 1 person in a fourth earlier generation, had chronic adrenal insufficiency. This was manifest by hyperpigmentation, hypernatriuria, hypokaliuria, and decreased plasma total cortisol and urine free cortisol; PTC, UFC and 17-OHCS did not respond to ACTH stimulation. Eleven affected persons in 5 sibships were identified, including several instances of male-to-male transmission."
103285,"A number sign (#) is used with this entry because of evidence that ADULT syndrome is caused by heterozygous mutation in the TP63 gene (603273) on chromosome 3q28.Allelic disorders with overlapping features include EEC3 (604292), limb-mammary syndrome (LMS;603543), AEC syndrome (106260), Rapp-Hodgkin syndrome (RHS;129400), and SHFM4 (605289)"
103780,"A number sign (#) is used with this entry because of the demonstrated role of multiple genes in determining the genetic susceptibility for alcoholism that is supported by family, twin, and other studies. See MOLECULAR GENETICS."
104130,"Shokeir (1977)reported a 4-generation family in which 12 individuals had alopecia universalis and dental pyorrhea resulting in tooth loss. Eight individuals, all in the last 2 generations, also had psychomotor epilepsy and peridontal pyorrhea, and 7 had borderline cognitive function. The proband was a 21-year-old woman who developed seizures at age 18. The seizures were characterized by a sense of unreality, nausea, wandering, and loss of memory without frank loss of consciousness, suggestive of temporal lobe epilepsy. She had an IQ of 72. Microscopic analysis of the proband's hair showed a thin shaft with uneven girth and occasional beading. The inheritance pattern in this family was consistent with autosomal dominant.Shokeir (1977)noted that the affected tissues all derived from the ectoderm. Similar disorders with mental retardation and alopecia, but showing autosomal recessive inheritance, are discussed in203600and203650.Timar et al. (1993)described a 23-month-old boy with a similar disorder to that described byShokeir (1977). He had congenital total permanent alopecia, febrile seizures, purulent conjunctivitis, and mental retardation. The child also had dry skin and a giant pigmented nevus on the left lower back. There were some dysmorphic features, including growth retardation, macrocephaly, facial asymmetry, epicanthal folds, hypertelorism, strabismus, high-arched palate, and distorted dentition of the central incisors. There was no family history, suggesting a de novo event."
104300,"A number sign (#) is used with this entry because of evidence that familial Alzheimer disease-1 (AD1) is caused by heterozygous mutation in the APP gene (104760), which encodes the amyloid precursor protein, on chromosome 21q21.A homozygous mutation in the APP gene with a dominant-negative effect on amyloidogenesis was found in 1 patient with an early-onset progressive dementia and his affected younger sister (104760.0022).A coding single-nucleotide polymorphism (SNP) in the APP gene (104760.0023) has been shown to have a protective effect against Alzheimer disease.See also APP-related cerebral amyloid angiopathy (CAA;605714), which shows overlapping clinical and neuropathologic features."
104310,"A number sign (#) is used with this entry because of the association between late-onset Alzheimer disease-2 (AD2) and the apolipoprotein E (107741) E4 allele.For a general phenotypic description and a discussion of genetic heterogeneity of Alzheimer disease, see104300."
106100,"A number sign (#) is used with this entry because hereditary angioedema-1 and -2 (HAE1 and HAE2), which are clinically indistinguishable but biochemically distinct, are both caused by heterozygous mutation in the C1 inhibitor gene (C1NH; SERPING1;606860) on chromosome 11q. HAE caused by homozygous mutation in the C1NH gene has also been reported."
106400,"Beardwell (1969)described a family of Greek Cypriot extraction in which at least 8 persons in 4 sibships in 2 generations were known to have a combination of ankylosing vertebral hyperostosis and tylosis (see144200). The tylosis was a punctate hyperkeratosis of the soles and palms. In addition, 6 persons had tylosis alone; thus, these may have been 2 independent genetic traits in this kindred. (This condition is sometimes called Forestier disease, although Forestier described senile ankylosing hyperostosis (Forestier and Rotes-Querol, 1950) and, before Beardwell's paper, familial occurrence had never been noted.) The family contained instances of male-to-male transmission. No member had the spinal disease without tylosis. No further families were known toBeardwell (1978). Involvement of the appendicular skeleton was recognized byResnick et al. (1975), who proposed the designation diffuse idiopathic skeletal hyperostosis (DISH). The prevalence of DISH was studied in various population groups byUtsinger (1985). Although DISH was thought to be less common in American blacks as compared to Caucasians,Cassim et al. (1990)found it rather frequent among hospitalized blacks in Africa."
107320,"The designation 'antiphospholipid syndrome' was proposed for the association of arterial and venous thrombosis, recurrent fetal loss, and immune thrombocytopenia with a spectrum of autoantibodies directed against cellular phospholipid components. Anticardiolipin antibodies may react with cardiolipin and with other negatively charged phospholipids, including beta-2-glycoprotein I (B2GPI, APOH;138700). The term 'lupus anticoagulant' refers to a heterogeneous group of antibodies, most commonly of the IgG type, that are detected by their inhibitory effect on coagulant-active phospholipid components of in vitro coagulation tests (summary byMatthey et al., 1989).Shoenfeld et al. (2008)noted that antiphospholipid syndrome is characterized by up to 30 different autoantibodies, including those against platelets, glycoproteins, coagulation factors, lamins, mitochondrial antigens, and cell surface markers. Some of these may have an additive effect on the prothrombotic tendency of the syndrome.Ruiz-Irastorza et al. (2010)reviewed pathophysiologic, clinical, diagnostic, and therapeutic advances related to the antiphospholipid syndrome.Various autoimmune disorders that cluster in families, including autoimmune thrombocytopenia (188030), are discussed elsewhere (e.g.,109100,269200)."
107550,"Levin et al. (1973)described monozygotic female twins with a syndrome of hypoplasia or interruption of the transverse aortic arch, facial weakness involving particularly the depressor anguli oris, and bilateral retinal coloboma.Marden and Venters (1966)described macular coloboma and coarctation of the aorta in a single patient who also had the linear nevus sebaceous syndrome. Whether this is a genuine syndrome and, if so, whether it is mendelian is not clear."
107650,"Obstructive sleep apnea is a common, chronic, complex disease associated with serious cardiovascular and neuropsychologic sequelae and with substantial social and economic costs (Palmer et al., 2003)."
109100,"A number sign (#) is used with this entry because it relates to a category of disorders.In many of the disorders in which autoimmunity has been incriminated, or at least accused, as a leading etiologic factor, familial aggregation is observed. For example, see thyroid autoantibodies (140300), alopecia areata (104000), pernicious anemia (170900), hypoadrenocorticism with hypoparathyroidism and superficial moniliasis (240300), Schmidt syndrome (269200), systemic lupus erythematosus (152700), Sjogren syndrome (270150), and anemia, autoimmune hemolytic (205700). The genetic significance of this is unclear. It is possible that if maternal antithyroid antibodies are responsible for athyreotic cretinism, then multiple sibs might be affected by this congenital anomaly without any genetic basis. Reports on the aggregation of possible autoimmune disorders include the following:Greenberg (1964)described 2 sisters with myasthenia gravis and thyrotoxicosis and a third sister with Hashimoto struma.Pirofsky (1968)found that 20% of 44 patients with idiopathic autoimmune hemolytic anemia had close relatives with clinically detectable autoimmune disease.Karpatkin et al. (1981)described a family in which the mother and 3 of her 4 children (a son and 2 daughters) had autoimmune thrombocytopenia purpura with bound platelet antibody. The 4 affected persons shared an HLA haplotype: A1, C-, B8, DR3 and Dw3.Lippman et al. (1982)found a high frequency of autoimmune manifestations, both clinical and laboratory, in relatives of a proband with autoimmune hemolytic anemia, 1 with immune thrombocytopenic purpura and 8 with systemic lupus erythematosus (SLE;152700). Segregation analysis was most compatible with an autosomal dominant pattern. The odds against linkage to HLA were 100:1.Bias et al. (1983)suggested that autoimmunity is an autosomal dominant trait. They studied 2 large kindreds in which serologic abnormalities as well as overt autoimmune disease were used in the definition of the autoimmune phenotype. Linkage studies in a second series of 23 families excluded linkage with HLA, Gm, and Km. The only positive score was with MNS (0.78 at theta = 0.30).Cales et al. (1983)studied the family of 2 brothers with primary biliary cirrhosis. Granulomatous hepatitis associated with autoimmune thyroiditis was found in a sister. Immunologic abnormalities were found in 6 members of the family: antinuclear antimitochondrial and antithyroid autoantibodies and rheumatoid factor. In a study of 6 families of probands with primary Sjogren syndrome (270150),Reveille et al. (1984)found various other autoimmune diseases and autoantibodies.Maclaren and Riley (1986)found that autoimmune Addison disease was strongly associated with HLA-DR3 and DR4; relative risks were 6.0, 4.6, and 26.5 for DR3, DR4, and DR3/DR4, respectively. This is similar to the findings for insulin-dependent diabetes. Patients with type I autoimmune polyglandular syndrome did not show the association.Bias et al. (1986)suggested that although autoimmune diseases show a distribution in families consistent with multifactorial etiology, the autoimmune trait is defined by the presence of autoimmune disease and/or high titer autoantibody as a familial occurrence consistent with autosomal dominant inheritance. They analyzed 18 autoimmune kindreds, concluding that the population frequency of the postulated autoimmune gene is approximately 0.10 with penetrance estimates of 92% in females and 49% in males. They proposed the existence of a primary autoimmune disease gene that is epistatic to other secondary genes that influence the autoimmune phenotype, including those of the major histocompatibility complex (MHC). The secondary genes, according to their hypothesis, confer specificity to the phenotype. (See comments ofGrundbacher (1988)and ofBias (1988).)Adams and Knight (1980)suggested that autoimmunity results from somatic mutations permitting the emergence of 'forbidden clones' of immunocytes.Reveille et al. (1989)described a father and son with polyarteritis nodosa (PAN) following hepatitis B infection. Further study of the family showed that the spouse of the father had long-standing SLE, a 38-year-old maternal uncle had had seropositive nodular rheumatoid arthritis since age 10, a 30-year-old maternal aunt had had seropositive rheumatoid arthritis since age 13, and a 68-year-old maternal aunt had rheumatoid factor-negative rheumatoid-like polyarthritis associated with xerophthalmia. The 75-year-old paternal grandmother had had idiopathic thrombocytopenic purpura, and a 69-year-old paternal great aunt had a 10-year history of seropositive nodular rheumatoid arthritis. Transmission of hepatitis in this family was thought to be due to the sharing of a razor. No correlation with a specific HLA haplotype could be demonstrated.Epplen (1992)discussed autoimmunity from the perspective of evolution. The immune system furnished the organism with the utmost effective defense mechanisms against 'foreign' or 'nonself' as well as against changes in 'self' without doing self-harm. Optimized efficacy in the defense against the immense variety of foreign antigens generates a higher risk for inadvertent self challenge--what in the military would be referred to as the consequences of 'friendly fire.'Mason et al. (1994)described polyarteritis nodosa in an Asian boy who presented at 13 years of age with livedo reticularis, Raynaud phenomenon, arthralgia, and hypertension. At the age of 17, he was shown by arteriography to have multiple small aneurysms of the renal, hepatic, and celiac axis vessels, consistent with a diagnosis of polyarteritis nodosa. He was treated successfully with prednisolone and immunosuppressive agents but pursued a relapsing, intermittent course, the relapses being associated with recurrence of a positive perinuclear antinucleophil cytoplasmic antibody test. His sister was admitted to the hospital at age 17 with fever and epigastric pain and showed palpable nodules over both temporal arteries, marked livedo reticularis, and hypertension. The parents were first cousins. A sib had died at the age of 9 within 24 hours of collapsing suddenly. Autopsy demonstrated a ruptured superficial vessel in the posterior part of the left frontal lobe. The father, having recently been diagnosed as hypertensive, collapsed and died suddenly at the age of 44 years while traveling abroad. Despite their consanguinity, the parents shared no HLA haplotypes. The 2 sibs with proven PAN shared 1 HLA haplotype derived from the mother.Becker et al. (1998)compared linkage results from 23 published genomewide scans in autoimmune or immune-mediated diseases. Human diseases included multiple sclerosis, Crohn disease, familial psoriasis, asthma, and type I diabetes (IDDM). Experimental animal disease studies included mouse experimental autoimmune encephalomyelitis, rat inflammatory arthritis, rat and mouse IDDM, histamine sensitization, immunity to exogenous antigens, and mouse lupus. A majority (approximately 65%) of the human positive linkages mapped nonrandomly into 18 distinct clusters. Overlapping of susceptibility loci occurred between different human immune diseases and by comparing conserved regions with experimental autoimmune/immune disease models. This nonrandom clustering supported a hypothesis that, in some cases, clinically distinct autoimmune diseases may be controlled by a common set of susceptibility genes. The clusters occurred on 18 of the 22 autosomes and on the X chromosome.Pando et al. (1999)studied class II major histocompatibility complex types in children and adults with type I autoimmune hepatitis in Argentina. They found that different HLA-DRB1 (142857) allotypes confer susceptibility to autoimmune hepatitis in children and adults, raising the possibility that the pediatric and adult forms of the disorder may be triggered by different factors.For information on an autoimmune disease susceptibility locus on chromosome 1p31, see AIS1 (607836)."
109200,"Androgenetic alopecia is characterized by a loss of hair from the scalp that follows a defined pattern (Hamilton, 1951). It occurs in women as well as in men. It is caused by a shortening of the anagen (growth) phase and miniaturization of the hair follicle, which results in the formation of progressively thinner, shorter hair (Bergfeld, 1995). In men, the condition is often referred to as male pattern baldness (MPB) and appears to be androgen-dependent (Hamilton, 1942). The condition is hereditary, and follows a pattern that may be consistent with an autosomal dominant trait (Osborn, 1916).Linkage evidence for an autosomal locus on 3q26 (AGA1) has been identified (Hillmer et al., 2008). See300710(AGA2) for a discussion of X linkage of androgenetic alopecia. A third locus has been found on chromosome 20p11 (AGA3;612421)."
109350,"Gastroesophageal reflux (GER) is characterized by the retrograde movement of stomach contents into the esophagus. In its most severe form, GER results in extensive tissue damage caused by acid reflux. In adolescents and adults, and even infrequently in children, chronic GER is associated with the risk of developing Barrett metaplasia (614266), a premalignant lesion of the esophageal mucosa (Hu et al., 2000). In turn, Barrett metaplasia is correlated with the development of adenocarcinoma of the esophagus (see614266), estimated as the fifth most prevalent neoplasia in the Western world (Lagergren et al., 1999)."
109543,"For a phenotypic description and a discussion of genetic heterogeneity of chronic lymphocytic leukemia (CLL), see151400."
109800,"A number sign (#) is used with this entry because bladder cancer is a complex disorder with both genetic and environmental influences. Somatic mutations in several genes, e.g., HRAS (190020), KRAS2 (190070), RB1 (614041), and FGFR3 (134934), have been implicated in bladder carcinogenesis. SeeBishop (1982)for a discussion of oncogenes."
110100,"A number sign (#) is used with this entry because blepharophimosis, ptosis, and epicanthus inversus syndrome, either with premature ovarian failure (BPES type I) or without (BPES type II), is caused by heterozygous mutation in the FOXL2 gene (605597) on chromosome 3q22. Rare instances of homozygous mutation in the FOXL2 gene have been reported."
