db_id,Description
DB00007,"Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty.[A203126, A203132]

Leuprolide was first approved in 1985 as a daily subcutaneous injection under the tradename Lupron™ by Abbvie Endocrine Inc.[L13850] Since this initial approval, various long-acting intramuscular and subcutaneous products have been developed such that patients can be dosed once every six months.[L13781, L13790] Leuprolide remains frontline therapy in all conditions for which it is indicated for use."
DB00010,Sermorelin acetate is the acetate salt of an amidated synthetic 29-amino acid peptide (GRF 1-29 NH 2 ) that corresponds to the amino-terminal segment of the naturally occurring human growth hormone-releasing hormone (GHRH or GRF) consisting of 44 amino acid residues
DB00014,"Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal."
DB00017,"Synthetic peptide, 32 residues long formulated as a nasal spray."
DB00035,"Desmopressin (dDAVP), a synthetic analogue of 8-arginine vasopressin (ADH), is an antidiuretic peptide drug modified by deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. ADH is an endogenous pituitary hormone that has a crucial role in the control of the water content in the body. Upon release from the stimulation of increased plasma osmolarity or decreased circulating blood volume, ADH mainly acts on the cells of the distal part of the nephron and the collecting tubules in the kidney [T28]. The hormone interacts with V1, V2 or V3 receptors with differing signal cascade systems.

Desmopressin displays enhanced antidiuretic potency, fewer pressor effects due to V2-selective actions, and a prolonged half-life and duration of action compared to endogenous ADH [A31661]. It has been employed clinically since 1972 and is available in various formulations including intranasal solution, intravenous solution, oral tablet and oral lyophilisate [A31662]. Desmopressin is indicated for the treatment of polyuric conditions including primary nocturnal enuresis, nocturia, and diabetes insipidus. It was also newly approved for the treatment of mild classical hemophilia and von Willebrand's disease for minor surgeries. The active ingredient in most formulations is desmopressin acetate. Nocdurna, or desmopressin acetate, was approved by the FDA on June 21st, 2018 for the treatment of nocturia due to nocturnal polyuria in adults. It is available as a sublingual tablet."
DB00067,"Vasopressin (arginine-vasopressin or antidiuretic hormone) is a nonapeptide primarily produced in the hypothalamus that exhibits diverse physiological functions related to diuresis, hemodynamic modulation, and behaviour.[A110, A111, A112, A113, A228008] Vasopressin is very similar to oxytocin, differing in the third and eighth amino acids.[A228013] Despite a wide variety of functions, exogenous vasopressin is primarily used to control blood pressure during systemic shock by increasing vasoconstriction and renal fluid reuptake by acting through V<sub>1</sub> and V<sub>2</sub> cellular receptors.[A228008, A228013, A228018, L31413]

The vasopressive effect of posterior pituitary gland extracts was noted in 1895, while vasopressin itself was not purified until 1951. It has been used for more than five decades for varying conditions, including variceal bleeding, diabetes insipidus, and, more recently, vasodilatory shock.[A228013] It is currently marketed under the trademark VASOSTRICT® by PAR Pharmaceuticals.[L31413]"
DB00091,"Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. It is isolated from the fungus _Beauveria nivea_.[A174049] Initially manufactured by Sandoz and approved for use by the FDA in 1983, cyclosporine is now available in various products by Novartis (previously known as Sandoz).[L11097,L3734,L11118]"
DB00104,"Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction.[L14501] In most cases, it results from an anterior pituitary growth hormone-releasing tumor. Typically, the feet, hands, and face grow abnormally large; organomegaly and insulin resistance may also occur. Acromegaly is a life-threatening disease requiring life-long management.[L14501]

Octreotide is a long-acting drug with pharmacologic activities that mimic those of the natural hormone, somatostatin, which inhibits the secretion of growth hormone.[L14513] Additionally, it is used for the treatment of acromegaly and symptoms arising from various tumors, including carcinoid tumors and vasoactive intestinal tumors (VIPomas).[L14513] In the past, octreotide has been administered solely by injection. On June 26, 2020, the first approved delayed-release oral somatostatin analog, Mycapssa, received FDA approval for the long term maintenance treatment of acromegaly. This drug was developed by Chiasma Inc.[L14495,L14507,L14528]"
DB00114,"This is the active form of vitamin B6 serving as a coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, aminolevulinic acid. During transamination of amino acids, pyridoxal phosphate is transiently converted into pyridoxamine phosphate (pyridoxamine)."
DB00115,"Cyanocobalamin (commonly known as Vitamin B12) is a highly complex, essential vitamin, owing its name to the fact that it contains the mineral, cobalt. This vitamin is produced naturally by bacteria [A175276], and is necessary for DNA synthesis and cellular energy production. Vitamin B12 has many forms, including the cyano-, methyl-, deoxyadenosyl- and hydroxy-cobalamin forms. The _cyano_ form, is the most widely used form in supplements and prescription drugs [A175255], [FDA label].  Several pharmaceutical forms of cyanocobalamin have been developed, including the tablet, injection, and nasal spray forms [FDA label], [L5542], [L5545].  This drug was initially approved by the FDA in 1942 [FDA label]."
DB00122,"A basic constituent of lecithin that is found in many plants and animal organs. It is important as a precursor of acetylcholine, as a methyl donor in various metabolic processes, and in lipid metabolism."
DB00125,An essential amino acid that is physiologically active in the L-form.
DB00126,"A six carbon compound related to glucose. It is found naturally in citrus fruits and many vegetables. Ascorbic acid is an essential nutrient in human diets, and necessary to maintain connective tissue and bone. Its biologically active form, vitamin C, functions as a reducing agent and coenzyme in several metabolic pathways. Vitamin C is considered an antioxidant."
DB00131,"Adenosine phosphate, or adenylic acid, is an adenine nucleotide containing one phosphate group esterified to the sugar moiety in the 2&#39;-, 3&#39;-, or 5&#39;-position. Adenosine phosphate was withdrawn by the FDA since it was considered neither safe nor effective for its intended uses as a vasodilator and an anti-inflammatory.[L43937]"
DB00136,"Calcitriol is an active metabolite of vitamin D with 3 hydroxyl (OH) groups and is commonly referred to as 1,25-dihydroxycholecalciferol, or 1alpha,25-dihydroxyvitamin D<sub>3</sub>, 1,25-dihydroxyvitamin D<sub>3</sub>. It is produced in the body after series of conversion steps of 7-dehydrocholesterol from exposure to UV light. 7-dehydrocholesterol is converted to [DB00169] (vitamin D3) in the skin, which is then converted to [DB00146] in the liver and kidneys. [DB00146] undergoes hydroxylation to form calcitriol via 1α-hydroxylase (CYP27B1) activity [A26353]. Calcitriol is considered to be the most potent metabolite of vitamin D in humans [A3366]. Renal production of calcitriol is stimulated in response to PTH, low calcium and low phosphate [A26353]. Calcitriol plays a role in plasma calcium regulation in concert with parathyroid hormone (PTH) by enhancing absorption of dietary calcium and phosphate from the gastrointestinal tract, promoting renal tubular reabsorption of calcium in the kidneys, and stimulating the release of calcium stores from the skeletal system. In addition to promoting fatty acid synthesis and inhibiting lipolysis, calcitriol has been demonstrated to increase energy efficiency by suppressing UCP2 expression, which is modulated by signaling pathways of classical nuclear receptors (nVDR), where calcitriol acts as a natural ligand [A175615]. There is also evidence that calcitriol modulates the action of cytokines and may regulate immune and inflammatory response, cell turnover, cell differentiation [A26353]. 

Administered orally and intravenously, calcitriol is commonly used as a medication in the treatment of secondary hyperparathyroidism and resultant metabolic bone disease, hypocalcemia in patients undergoing chronic renal dialysis, and osteoporosis. It is also available in topical form for the treatment of mild to moderate plaque psoriasis in adults. Calcitriol is marketed under various trade names including Rocaltrol (Roche), Calcijex (Abbott) and Decostriol (Mibe, Jesalis)."
DB00140,"Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide."
